Department,Job_Title,Bargaining_Unit,Salary,Longevity_Pay,Overtime_Pay,Total_Pay,Hire_Date,Termination_Pay,Termination_Date
Social Services,SOCIAL SERVICES EXAM I,Association of Municipal Employees (AME-White Collar),4837.4,0.0,0.0,22646.29,2003/12/08 00:00:00+00,14779.16,2022/01/20 00:00:00+00
Public Works,CONSTRUCTION EQUIP OPER,Association of Municipal Employees (AME-Blue Collar),43437.09,1516.67,13069.66,77817.9,1988/01/11 00:00:00+00,15846.2,2022/07/29 00:00:00+00
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,841.88,0.0,0.0,841.88,2022/05/01 00:00:00+00,0.0,
"Labor, License & Consumer Affairs",PROGRAM AIDE I,Temp,2272.5,0.0,0.0,2272.5,2022/07/01 00:00:00+00,0.0,
Sheriff,PRINCIPAL OFFICE ASSISTANT,Association of Municipal Employees (AME-White Collar),59665.4,1250.0,11048.96,72730.78,2010/01/04 00:00:00+00,0.0,
Police,PUBLIC SAFETY DISPATCHER I,Association of Municipal Employees (AME-White Collar),2777.68,0.0,558.56,6866.36,2013/09/03 00:00:00+00,573.16,2022/01/27 00:00:00+00
Police,SCHOOL CROSSING GUARD,Association of Municipal Employees (AME-Blue Collar),26547.72,2000.0,117.86,32613.11,1998/02/25 00:00:00+00,0.0,
Parks,PARK RANGER I (SEASONAL),Temp,10840.86,0.0,0.0,10840.86,2023/03/13 00:00:00+00,0.0,2022/09/25 00:00:00+00
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,1312.5,0.0,0.0,1312.5,2022/05/01 00:00:00+00,0.0,
"Labor, License & Consumer Affairs",PROGRAM AIDE I,Temp,2310.0,0.0,0.0,2310.0,2022/06/28 00:00:00+00,0.0,
Legislature,LEGISLATIVE AIDE II,Management,84119.6,1750.0,0.0,89941.02,2006/12/11 00:00:00+00,0.0,
"Labor, License & Consumer Affairs",PROGRAM AIDE I,,2572.5,0.0,0.0,2572.5,2022/07/05 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),76096.6,16675.0,3837.67,231037.1,1993/04/02 00:00:00+00,103838.04,2022/07/01 00:00:00+00
Traffic Violations Bureau,SECURITY GUARD (PT),Temp,25122.0,0.0,0.0,25372.0,2022/07/25 00:00:00+00,0.0,2022/07/08 00:00:00+00
"Labor, License & Consumer Affairs",PROGRAM AIDE I,,645.0,0.0,0.0,645.0,2022/07/01 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,1142.76,0.0,0.0,1142.76,2022/05/01 00:00:00+00,0.0,
Public Works,AUTO EQUIPMENT OPERATOR,Association of Municipal Employees (AME-Blue Collar),52391.35,1750.0,18144.5,75377.27,2003/04/28 00:00:00+00,0.0,
Probation,PROBATION OFFICER,Probation Officers Association (POA),69770.6,0.0,0.0,70470.6,2019/03/25 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),147534.1,11500.0,61259.71,248349.21,2002/11/12 00:00:00+00,0.0,
Social Services,ASSETS AND RESOURCES SUPV,Association of Municipal Employees (AME-White Collar),102533.4,1750.0,0.0,109525.82,2003/08/18 00:00:00+00,0.0,
Police,ADMINISTRATIVE ASSISTANT,Association of Municipal Employees (AME-White Collar),64760.71,2250.0,8816.64,80015.67,1999/10/12 00:00:00+00,0.0,
Police,POLICE OFFICER (SPANISH SPK),Police Benevolent Association (PBA),53790.4,0.0,3669.67,71893.23,2021/04/12 00:00:00+00,0.0,
Health Services,PUBL HLTH SANITARIAN TRAINEE,Association of Municipal Employees (AME-White Collar),14319.0,0.0,0.0,14431.42,2022/08/22 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),62671.8,0.0,16968.46,94665.58,2019/10/21 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,1348.75,0.0,0.0,1348.75,2022/05/01 00:00:00+00,0.0,
County Executive,SR GOVT LIAISON OFFICER,Association of Municipal Employees (AME-White Collar),92703.2,0.0,0.0,94045.62,2014/05/27 00:00:00+00,0.0,
Health Services,ASSOC PUB HLTH SANITARIAN,Association of Municipal Employees (AME-White Collar),103304.0,1750.0,0.0,110415.42,2003/08/25 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,1817.5,0.0,0.0,1817.5,2022/05/01 00:00:00+00,0.0,1990/03/04 00:00:00+00
Police,POLICE OFFICER (SPANISH SPK),Police Benevolent Association (PBA),104476.19,4600.0,38007.48,166871.52,2014/12/15 00:00:00+00,0.0,
Parks,PARK RANGER I (SEASONAL),Temp,5790.75,0.0,0.0,5790.75,2023/04/02 00:00:00+00,0.0,2022/10/15 00:00:00+00
Police,SERGEANT (POLICE),Superior Officers Association (SOA),173216.1,15525.0,22517.7,236059.82,1995/10/30 00:00:00+00,0.0,
Civil Service,EXAMINER III (PT),Temp,134.0,0.0,0.0,134.0,2022/05/21 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,2003.13,0.0,0.0,2003.13,2022/05/01 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,954.38,0.0,0.0,954.38,2022/05/01 00:00:00+00,0.0,
Parks,PARK ATTENDANT I (PT),Temp,5010.0,0.0,0.0,5010.0,2022/05/23 00:00:00+00,0.0,2022/08/11 00:00:00+00
Social Services,OFFICE ASSISTANT,Association of Municipal Employees (AME-White Collar),33664.52,0.0,91.49,33868.43,2021/09/20 00:00:00+00,0.0,
Police,DETECTIVE SERGEANT (POLICE),Superior Officers Association (SOA),181833.5,20975.0,68863.98,298758.04,1987/09/14 00:00:00+00,0.0,
Sheriff,JAIL COOK,Association of Municipal Employees (AME-Blue Collar),49379.6,0.0,7741.98,61274.41,2020/02/24 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),147534.1,12075.0,8112.79,195777.29,2002/04/22 00:00:00+00,0.0,
Sheriff,JAIL COOK,Association of Municipal Employees (AME-Blue Collar),57691.8,0.0,14205.5,77390.14,2015/10/12 00:00:00+00,0.0,
Social Services,CASEWORKER,Association of Municipal Employees (AME-White Collar),53966.0,0.0,0.0,54078.42,2020/09/21 00:00:00+00,0.0,
Information Technology Service,SYSTEMS ANALYST,Association of Municipal Employees (AME-White Collar),91421.23,0.0,0.0,91533.65,2021/08/09 00:00:00+00,0.0,
District Attorney,BUREAU CHIEF,Management,3797.5,0.0,0.0,38135.59,2018/01/01 00:00:00+00,31763.38,2021/12/31 00:00:00+00
District Attorney,SENIOR DETECTIVE INVESTIGATOR,Suffolk Detective Investigators (DIPBA),203360.6,17525.0,14246.0,237581.6,1995/11/13 00:00:00+00,0.0,
Social Services,OFFICE ASSISTANT,Temp,588.5,0.0,0.0,588.5,2020/05/26 00:00:00+00,0.0,2022/02/10 00:00:00+00
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,6818.75,0.0,0.0,6818.75,2022/05/01 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,2456.25,0.0,0.0,2456.25,2022/05/01 00:00:00+00,0.0,
Sheriff,CORRECTION OFFICER I,Correction Officers Association (COA),54982.13,0.0,24173.56,85483.68,2019/01/14 00:00:00+00,0.0,
"Labor, License & Consumer Affairs",PROGRAM AIDE I,Temp,2550.0,0.0,0.0,2550.0,2022/07/05 00:00:00+00,0.0,2021/08/21 00:00:00+00
Social Services,SECRETARY,Association of Municipal Employees (AME-White Collar),57095.4,1250.0,0.0,61353.82,2009/01/12 00:00:00+00,0.0,
Sheriff,DEPUTY SHERIFF I,Deputy Sheriffs PBA (DSPBA),106867.33,2750.0,113515.1,224494.85,2004/06/07 00:00:00+00,0.0,
Parks,PARK ATTENDANT I (PT),Temp,27262.0,0.0,0.0,27262.0,2023/01/03 00:00:00+00,0.0,2022/12/19 00:00:00+00
Probation,PROBATION SUPERVISOR,Probation Officers Association (POA),106056.95,2250.0,0.0,109006.95,1999/11/01 00:00:00+00,0.0,
Sheriff,CORRECTION OFFICER I,Correction Officers Association (COA),109297.13,3750.0,76155.62,200641.08,1997/05/05 00:00:00+00,0.0,
Police,PUBLIC SAFETY DISPATCHER I,Association of Municipal Employees (AME-White Collar),70566.95,2250.0,9705.57,95258.06,2002/04/12 00:00:00+00,0.0,
Sheriff,CORRECTION OFFICER I,Correction Officers Association (COA),9584.11,0.0,1724.84,12345.87,2022/09/19 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,828.75,0.0,0.0,828.75,2022/05/01 00:00:00+00,0.0,
"Labor, License & Consumer Affairs",PROGRAM AIDE I,Temp,1890.0,0.0,0.0,1890.0,2022/07/05 00:00:00+00,0.0,
Police,PRINCIPAL OFFICE ASSISTANT,Association of Municipal Employees (AME-White Collar),60656.99,1750.0,22297.73,87958.14,2000/10/17 00:00:00+00,0.0,
Police,EMERGENCY COMPLAINT OPER,Association of Municipal Employees (AME-White Collar),57467.09,2250.0,14229.9,81852.13,2001/11/13 00:00:00+00,0.0,
Police,EMERGENCY COMPLAINT OPER,Association of Municipal Employees (AME-White Collar),28400.68,0.0,10728.73,40473.23,2016/11/14 00:00:00+00,0.0,2022/09/19 00:00:00+00
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,899.88,0.0,0.0,899.88,2022/05/01 00:00:00+00,0.0,
Information Technology Service,SENIOR SYSTEMS ANALYST,Association of Municipal Employees (AME-White Collar),79458.61,0.0,1506.05,81077.08,2019/06/10 00:00:00+00,0.0,
District Attorney,DEPUTY BUREAU CHIEF,Management,3477.0,0.0,0.0,22198.16,2018/08/13 00:00:00+00,17385.0,2021/12/31 00:00:00+00
Public Works,SENIOR ACCOUNT CLERK,Association of Municipal Employees (AME-White Collar),53960.59,0.0,18367.93,73022.94,2013/08/22 00:00:00+00,0.0,
"Labor, License & Consumer Affairs",PROGRAM AIDE IV,Temp,1377.01,0.0,0.0,1377.01,2021/12/09 00:00:00+00,0.0,
District Attorney,DISTRICT ATTORNEY INVESTIGATOR,Suffolk Detective Investigators (DIPBA),89745.5,0.0,1236.73,93432.23,2018/11/26 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,888.13,0.0,0.0,888.13,2022/05/01 00:00:00+00,0.0,
Board Of Elections,ELECTION INSPECTOR,Temp,666.25,0.0,0.0,666.25,2022/11/01 00:00:00+00,0.0,
Social Services,COMMUNITY SERVICE WORKER,Association of Municipal Employees (AME-White Collar),30947.82,0.0,2798.82,37981.13,2020/01/13 00:00:00+00,0.0,
Social Services,CASEWORK SUPERVISOR,Association of Municipal Employees (AME-White Collar),94358.41,2250.0,0.0,101434.83,2002/12/09 00:00:00+00,0.0,
"Labor, License & Consumer Affairs",PROGRAM AIDE I,Temp,2385.0,0.0,0.0,2385.0,2022/07/05 00:00:00+00,0.0,
Social Services,SOCIAL SERVICES EXAM I,Association of Municipal Employees (AME-White Collar),62669.62,1250.0,0.0,67363.04,2008/05/05 00:00:00+00,0.0,
Social Services,CHILD SUPPORT SPCLST II,Association of Municipal Employees (AME-White Collar),76283.2,1250.0,0.0,80023.62,2009/08/24 00:00:00+00,0.0,
District Attorney,SENIOR ASST DISTRICT ATTY,Management,85936.2,0.0,0.0,93246.62,2016/08/15 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,912.76,0.0,0.0,912.76,2022/05/01 00:00:00+00,0.0,
Sheriff,DEPUTY SHERIFF I,Deputy Sheriffs PBA (DSPBA),106172.33,1350.0,18273.28,135870.4,2015/09/14 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,655.0,0.0,0.0,655.0,2022/05/01 00:00:00+00,0.0,
"Labor, License & Consumer Affairs",PROGRAM AIDE I,Temp,5850.0,0.0,0.0,5850.0,2022/07/19 00:00:00+00,0.0,
Police,PUBLIC SAFETY DISPATCHER I,Association of Municipal Employees (AME-White Collar),15423.4,0.0,534.47,17713.47,2022/08/29 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),46229.1,0.0,1271.13,54278.84,2021/12/06 00:00:00+00,0.0,
Social Services,CASEWORKER,Association of Municipal Employees (AME-White Collar),6504.13,0.0,0.0,6504.13,2022/07/11 00:00:00+00,0.0,2022/09/30 00:00:00+00
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,1147.5,0.0,0.0,1147.5,2022/05/01 00:00:00+00,0.0,
Police,SENIOR OFFICE ASSISTANT,Association of Municipal Employees (AME-White Collar),36241.4,0.0,75.8,36917.62,2018/12/10 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),147534.1,15525.0,159834.58,344325.08,1995/03/13 00:00:00+00,0.0,
Probation,VICTIM SERVICES COORDINATOR,Association of Municipal Employees (AME-White Collar),71877.8,1750.0,15266.68,92717.9,2006/09/11 00:00:00+00,0.0,
District Attorney,DEPUTY BUREAU CHIEF,Management,178121.2,0.0,0.0,180633.62,2018/01/05 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,3768.13,0.0,0.0,3768.13,2022/05/01 00:00:00+00,0.0,2017/03/30 00:00:00+00
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,615.63,0.0,0.0,615.63,2022/05/01 00:00:00+00,0.0,
County Clerk,PRINCIPAL OFFICE ASSISTANT,Association of Municipal Employees (AME-White Collar),55603.22,2400.0,2468.15,63524.79,1997/05/19 00:00:00+00,0.0,
"Labor, License & Consumer Affairs",PROGRAM AIDE I,Temp,772.5,0.0,0.0,772.5,2022/02/14 00:00:00+00,0.0,
Sheriff,CORRECTION OFFICER I,Correction Officers Association (COA),105644.53,3250.0,64235.25,189134.43,1998/07/20 00:00:00+00,0.0,
County Clerk,OFFICE ASSISTANT,Association of Municipal Employees (AME-White Collar),34038.61,0.0,9180.85,43331.88,2021/11/01 00:00:00+00,0.0,
Sheriff,CORRECTION OFFICER I,Correction Officers Association (COA),45371.63,0.0,14885.66,67010.38,2021/05/03 00:00:00+00,0.0,
Probation,SENIOR PROBATION OFFICER,Probation Officers Association (POA),99794.92,1750.0,3458.71,105703.63,2003/06/16 00:00:00+00,0.0,
Social Services,CASEWORKER TRAINEE,Association of Municipal Employees (AME-White Collar),38949.4,0.0,311.61,39373.43,2022/03/07 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,2050.0,0.0,0.0,2050.0,2022/05/01 00:00:00+00,0.0,
Board Of Elections,ELECTION INSPECTOR,Temp,975.0,0.0,0.0,975.0,2022/09/01 00:00:00+00,0.0,
District Attorney,PARALEGAL,Association of Municipal Employees (AME-White Collar),12971.4,0.0,0.0,12971.4,2022/09/07 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,2550.0,0.0,0.0,2550.0,2010/09/01 00:00:00+00,0.0,
Public Works,HIGHWAY MAINTENANCE SUPVR,Association of Municipal Employees (AME-White Collar),127806.8,1250.0,0.0,134497.22,2008/12/22 00:00:00+00,0.0,
Sheriff,DPTY SHERIFF II (INVEST),Deputy Sheriffs PBA (DSPBA),133521.13,3750.0,90179.41,252943.24,1993/03/29 00:00:00+00,0.0,
Sheriff,DEPUTY SHERIFF I,Deputy Sheriffs PBA (DSPBA),43043.83,0.0,22952.24,71091.13,2021/03/29 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,1082.5,0.0,0.0,1082.5,2022/05/01 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,742.5,0.0,0.0,742.5,2022/05/01 00:00:00+00,0.0,
District Attorney,ASST DISTRICT ATTY,Management,67713.4,0.0,0.0,68175.82,2021/08/13 00:00:00+00,0.0,
Probation,PRINCIPAL OFFICE ASSISTANT,Association of Municipal Employees (AME-White Collar),0.0,-183.33,0.0,44058.37,1999/02/24 00:00:00+00,41345.04,2021/12/17 00:00:00+00
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,1278.51,0.0,0.0,1278.51,2022/05/01 00:00:00+00,0.0,
Parks,PARK ATTENDANT I (PT),Temp,5730.0,0.0,0.0,5730.0,2022/06/24 00:00:00+00,0.0,2022/10/06 00:00:00+00
"Labor, License & Consumer Affairs",ADMINISTRATIVE DIR OF LL&CA,Association of Municipal Employees (AME-White Collar),144591.8,2600.0,0.0,154533.22,1991/12/09 00:00:00+00,0.0,
Health Services,PUBLIC HEALTH SANITARIAN,Association of Municipal Employees (AME-White Collar),55263.4,0.0,0.0,55375.82,2020/05/04 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,1545.0,0.0,0.0,1545.0,2022/05/01 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,888.75,0.0,0.0,888.75,2022/05/01 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),136820.0,6900.0,18683.97,183509.47,2010/06/28 00:00:00+00,0.0,
Board Of Elections,JR ASSISTANT ELECTION CLERK 4,Board of Elections,42693.99,0.0,13482.73,56289.14,2021/06/08 00:00:00+00,0.0,
Social Services,SOCIAL SERVICES EXAM I,Association of Municipal Employees (AME-White Collar),17639.92,0.0,0.0,17752.34,2020/07/13 00:00:00+00,0.0,
Social Services,SOCIAL SERVICES EXAM I,Association of Municipal Employees (AME-White Collar),2350.5,0.0,0.0,2350.5,2022/03/21 00:00:00+00,0.0,2022/04/13 00:00:00+00
Social Services,CASEWORKER,Association of Municipal Employees (AME-White Collar),79905.6,1250.0,35615.1,116883.12,2007/02/20 00:00:00+00,0.0,
Law,PR ASSISTANT COUNTY ATTY,Management,83156.45,0.0,0.0,83268.87,2022/05/02 00:00:00+00,0.0,
Traffic Violations Bureau,OFFICE ASSISTANT,Temp,12152.5,0.0,0.0,12152.5,2014/01/06 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,3610.0,0.0,0.0,3610.0,2022/05/01 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),147534.1,10350.0,124279.9,310219.4,2010/06/28 00:00:00+00,0.0,
Sheriff,DEPUTY SHERIFF I,Deputy Sheriffs PBA (DSPBA),37866.23,0.0,13099.81,55385.26,2021/12/06 00:00:00+00,0.0,
District Attorney,CRIME VICTIMS ADVOCATE(SP SPK),Association of Municipal Employees (AME-White Collar),41044.4,0.0,0.0,41156.82,2021/11/17 00:00:00+00,0.0,
"Labor, License & Consumer Affairs",PROGRAM AIDE I,Temp,4275.0,0.0,0.0,4275.0,2022/02/28 00:00:00+00,0.0,
"Labor, License & Consumer Affairs",PROGRAM AIDE I,Temp,1050.0,0.0,0.0,1050.0,2022/07/05 00:00:00+00,0.0,
"Fire, Rescue & Emergency Svcs",PRINCIPAL OFFICE ASSISTANT,Association of Municipal Employees (AME-White Collar),54419.0,1250.0,580.38,56986.8,2010/03/08 00:00:00+00,0.0,
"Labor, License & Consumer Affairs",PROGRAM AIDE I,Temp,10310.0,0.0,0.0,10310.0,2021/07/06 00:00:00+00,0.0,
"Labor, License & Consumer Affairs",PROGRAM AIDE I,Temp,2775.0,0.0,0.0,2775.0,2022/07/05 00:00:00+00,0.0,2021/08/21 00:00:00+00
"Labor, License & Consumer Affairs",PROGRAM AIDE I,Temp,2370.0,0.0,0.0,2370.0,2022/07/11 00:00:00+00,0.0,
Probation,PROBATION ASSISTANT,Association of Municipal Employees (AME-White Collar),19956.0,0.0,0.0,20068.42,2022/07/11 00:00:00+00,0.0,
Social Services,SENIOR CASEWORKER,Association of Municipal Employees (AME-White Collar),42521.6,937.5,5112.48,98974.39,2000/10/16 00:00:00+00,46120.75,2022/06/22 00:00:00+00
Police,SCHOOL CROSSING GUARD (Temporary),Temp,3815.0,0.0,0.0,3815.0,2022/08/25 00:00:00+00,0.0,
Public Works,MATERIEL CONTROL CLERK IV,Association of Municipal Employees (AME-White Collar),42093.4,0.0,6470.08,48799.9,2019/05/06 00:00:00+00,0.0,
Sheriff,CORRECTION OFFICER I,Correction Officers Association (COA),0.0,0.0,72.64,77.72,2021/11/29 00:00:00+00,5.08,2021/11/30 00:00:00+00
"Labor, License & Consumer Affairs",PROGRAM AIDE I,Temp,555.0,0.0,0.0,555.0,2022/03/08 00:00:00+00,0.0,
Board Of Elections,ELECTION INSPECTOR,Temp,802.0,0.0,0.0,802.0,2022/09/01 00:00:00+00,0.0,
Legislature,COUNTY LEGISLATOR,Management,102934.0,0.0,0.0,106990.25,2011/04/12 00:00:00+00,0.0,
"Fire, Rescue & Emergency Svcs",EMERG SVCS DISPATCHER I,Association of Municipal Employees (AME-Blue Collar),53308.98,0.0,7009.05,64687.44,2019/12/30 00:00:00+00,0.0,
Sheriff,CORRECTION OFFICER I (INVEST),Correction Officers Association (COA),112082.13,1350.0,11739.97,135604.9,2014/07/16 00:00:00+00,0.0,
Social Services,SENIOR CASEWORKER,Association of Municipal Employees (AME-White Collar),87002.0,1250.0,2846.43,95573.85,2009/05/26 00:00:00+00,0.0,
Board Of Elections,ELECTION INSPECTOR,Temp,616.25,0.0,0.0,616.25,2022/09/01 00:00:00+00,0.0,
Health Services,PUBLIC HEALTH FELLOW I,Association of Municipal Employees (AME-White Collar),26157.9,0.0,0.0,26270.32,2022/05/09 00:00:00+00,0.0,
Police,SCHOOL CROSSING GUARD,Association of Municipal Employees (AME-Blue Collar),13983.77,0.0,104.21,15935.9,2012/03/14 00:00:00+00,0.0,
Police,PRINCIPAL OFFICE ASSISTANT,Association of Municipal Employees (AME-White Collar),63792.9,1750.0,14342.02,88624.86,2007/11/16 00:00:00+00,0.0,
Parks,PARK RANGER I (SEASONAL),Temp,18417.0,0.0,0.0,18417.0,2023/02/16 00:00:00+00,0.0,2022/08/31 00:00:00+00
Police,DETECTIVE (POLICE),Suffolk Detectives Association (SDA),164469.8,9200.0,32285.26,237334.52,2006/09/11 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,921.13,0.0,0.0,921.13,2022/05/01 00:00:00+00,0.0,
Social Services,SOCIAL SERVICES EXAM III,Association of Municipal Employees (AME-White Collar),86609.79,1750.0,0.0,92898.21,2006/12/04 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,2062.5,0.0,0.0,2062.5,2022/05/01 00:00:00+00,0.0,
"Labor, License & Consumer Affairs",PROGRAM AIDE I,Temp,2550.0,0.0,0.0,2550.0,2022/07/05 00:00:00+00,0.0,2021/08/21 00:00:00+00
Police,DEPUTY INSPECTOR (POLICE),Superior Officers Association (SOA),213280.5,15525.0,11542.02,255537.66,1995/05/22 00:00:00+00,0.0,
County Executive,YOUTH SERVICES COORD,Association of Municipal Employees (AME-White Collar),105304.4,2250.0,0.0,113009.82,2000/04/24 00:00:00+00,0.0,
Public Works,PRINCIPAL OFFICE ASSISTANT,Association of Municipal Employees (AME-White Collar),55955.02,1458.33,0.0,69217.39,2007/04/23 00:00:00+00,8750.09,2022/11/25 00:00:00+00
Social Services,SOC SER EXAM I (SP SPKG),Association of Municipal Employees (AME-White Collar),66674.8,1750.0,7587.21,79457.43,2003/04/07 00:00:00+00,0.0,
"Labor, License & Consumer Affairs",PROGRAM AIDE I,Temp,420.0,0.0,0.0,420.0,2021/07/06 00:00:00+00,0.0,
Police,SERGEANT (POLICE),Superior Officers Association (SOA),173216.1,9775.0,17059.33,224773.45,2005/09/12 00:00:00+00,0.0,
Police,SCHOOL CROSSING GUARD,Association of Municipal Employees (AME-Blue Collar),13577.22,0.0,101.17,15469.39,2012/03/14 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),42562.7,0.0,882.54,48487.1,2022/01/18 00:00:00+00,0.0,
Medical Examiners Office,MORGUE AMBULANCE DRIVER,Association of Municipal Employees (AME-Blue Collar),45008.4,0.0,3892.33,49774.15,2017/12/18 00:00:00+00,0.0,
Medical Examiners Office,MORGUE ASSISTANT,Association of Municipal Employees (AME-White Collar),39314.0,0.0,202.58,40296.0,2016/04/04 00:00:00+00,0.0,
Police,SCHOOL CROSSING GUARD (Temporary),Temp,957.5,0.0,0.0,957.5,2022/08/25 00:00:00+00,0.0,2022/09/21 00:00:00+00
